playerID,year,stint,tmID,GP_player,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,pos,height,weight,college,birthDate,award,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP_team,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,PER,TS%,eFG%,stocks,dar
ajavoma01w,10,0,WAS,34,4,587,272,27,37,37,37,4,50,84,253,85,110,74,82,28,1,2,0,34,19,1,4,3,4,0,2,6,16,6,6,5,8,2,0,G,68.0,160,1,1986-05-07,[],EA,4,1,010,001,001,933,2205,580,827,139,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,16,18,34,11,6,5,12,10,12,6875,192747,Verizon Center,0.0,2.0,7.192118580324868,21.464392532310054,18.61391022479036,19.503241491085898,0.1788756388415673
aldrima01w,1,0,WAS,29,0,272,63,8,16,28,9,4,27,30,54,25,22,7,12,6,0,2,0,49,14,1,3,7,1,0,1,3,11,5,8,4,3,0,0,G,71.0,153,1,1973-09-15,[],EA,4,1,010,001,001,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,0.0,2.0,1.9005356752594487,10.903382390070286,11.429257458430877,2.86547811993517,0.13602941176470587
aldrima01w,2,0,WAS,5,0,35,7,2,0,2,0,0,4,5,9,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,71.0,153,1,1973-09-15,[],EA,8,0,001,001,001,739,1915,333,504,117,418,356,699,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,331,737,1068,487,543,261,454,103,2075,10,22,32,8,8,2,14,4,17,6500,246667,Verizon Center,0.0,0.0,0.08132220542741045,1.0515960223058538,0.9454349000540246,0.0,0.05714285714285714
alhalta01w,2,0,ORL,26,1,252,49,15,23,14,11,0,28,20,58,19,14,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-G,72.0,149,1,1974-10-17,[],EA,5,0,001,001,001,768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,13,19,32,10,6,3,13,9,12,6450,118874,Amway Arena,0.0,0.0,1.5355254711986983,7.7980696556825135,7.3939529424914765,2.246353322528363,0.19444444444444445
allench01w,9,0,SAC,6,0,49,16,2,4,3,1,0,6,5,16,7,0,0,6,2,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,G,71.0,135,1,1986-07-23,[],WE,4,1,010,001,001,883,2159,611,816,168,438,388,721,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,2571,18,16,34,13,4,5,12,9,11,6800,139066,ARCO Arena (II),1.0,2.0,0.40442943472864223,1.985413290113452,1.985413290113452,0.03970826580226904,0.14285714285714285
amachma01w,2,0,NYL,2,0,3,1,1,0,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,73.0,175,0,1978-01-30,[],EA,2,1,100,010,001,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,21,11,32,13,3,8,8,13,8,6400,250565,Madison Square Garden (IV),3.0,3.0,0.0,0.13813172241049065,0.0,0.0024311183144246355,0.6666666666666666
amachma01w,4,0,SEA,7,0,47,8,4,10,0,5,2,9,3,10,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,73.0,175,0,1978-01-30,[],WE,5,0,001,001,001,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,18,16,34,13,4,5,12,11,13,6850,120857,KeyArena at Seattle Center,0.0,0.0,0.4116158203932249,1.2954938863714043,1.1426256077795787,0.26661264181523503,0.44680851063829785
amachma01w,6,0,WAS,3,0,3,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,73.0,175,0,1978-01-30,[],EA,5,0,001,001,001,847,1968,388,546,181,510,266,677,943,517,697,260,435,76,2263,833,1872,489,648,150,433,267,757,1024,545,638,205,504,108,2305,16,18,34,10,7,6,11,9,11,6900,171501,Verizon Center,0.0,0.0,0.0,0.1293148039587572,0.0,0.0,0.0
ambermo01w,3,0,SAC,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,76.0,169,1,1970-12-21,[],WE,6,0,001,001,001,780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,14,18,32,10,6,4,12,8,13,6575,144179,ARCO Arena (II),0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderam01w,7,1,CON,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,72.0,167,1,1984-03-14,[],EA,1,1,100,010,001,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,26,8,34,14,3,12,5,15,5,6825,126096,Mohegan Sun Arena,3.0,2.0,0.0,0.0,0.0,0.0,2.0
anderam01w,7,2,NYL,3,0,9,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,72.0,167,1,1984-03-14,[],EA,5,0,001,001,001,822,2069,512,650,216,645,285,736,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,2656,11,23,34,7,10,4,13,7,13,6875,155048,Madison Square Garden (IV),0.0,0.0,0.0,0.0,0.0,0.007293354943273906,0.3333333333333333
anderch01w,4,0,SAC,26,0,171,42,7,17,5,5,5,17,33,44,19,12,4,0,0,1,5,0,29,7,0,3,0,0,2,4,7,5,3,2,1,0,0,0,C,78.0,190,1,1981-01-22,[],WE,3,1,100,010,001,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,19,15,34,12,5,7,10,13,11,6825,155578,ARCO Arena (II),3.0,3.0,1.3475675513577534,5.905131133048475,5.983866214822454,1.385737439222042,0.19883040935672514
anderch01w,5,0,SAC,30,0,231,77,14,20,5,3,6,25,46,64,25,37,27,0,0,0,2,0,11,2,0,2,1,0,0,1,1,2,1,0,0,0,0,0,C,78.0,190,1,1981-01-22,[],WE,4,1,100,010,001,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,18,16,34,10,7,8,9,12,10,6900,147544,ARCO Arena (II),3.0,3.0,2.434197573964875,8.977391932127343,7.312348055105349,1.6847649918962724,0.18614718614718614
anderch01w,6,0,SAS,34,19,669,203,28,62,11,8,15,55,106,178,83,46,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,78.0,190,1,1981-01-22,[],WE,7,0,001,001,001,764,1833,503,652,110,339,256,690,946,433,650,195,535,90,2141,898,2059,463,611,142,408,351,704,1055,563,685,283,429,148,2401,7,27,34,5,12,2,15,3,19,6800,135054,AT&T Center,0.0,0.0,7.568183185715274,27.757842760212068,25.27953307959864,12.469205834683954,0.16890881913303438
anderch01w,7,0,SAS,23,20,414,153,28,57,15,7,10,29,73,112,59,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,78.0,190,1,1981-01-22,[],WE,6,0,001,001,001,915,2255,504,672,189,556,354,814,1168,540,610,246,488,83,2523,974,2262,490,640,165,459,372,865,1237,560,641,254,480,129,2603,13,21,34,6,11,7,10,10,10,6800,125749,AT&T Center,0.0,0.0,6.162247629457858,19.472925679348158,17.673361889326234,5.703403565640195,0.2463768115942029
anderch01w,8,0,SAS,11,1,86,28,6,14,3,1,5,5,11,20,10,12,8,0,0,0,2,0,5,2,1,0,0,0,0,0,3,1,0,2,2,0,0,0,C,78.0,190,1,1981-01-22,[],WE,2,1,100,010,001,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,20,14,34,9,8,11,6,13,9,6875,128680,AT&T Center,2.0,3.0,1.3266613289428175,3.8595285476888987,3.4846029173419772,0.41815235008103724,0.3023255813953488
anderjo01w,9,0,CON,24,7,367,97,11,47,26,7,1,16,17,126,35,15,11,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,68.0,166,1,1986-07-22,[],EA,2,1,010,001,001,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,21,13,34,13,4,8,9,13,7,6850,129951,Mohegan Sun Arena,1.0,2.0,2.8323535866877463,10.87800161830098,10.149597386226235,2.379254457050243,0.17983651226158037
anderke01w,1,0,WAS,30,9,434,75,12,34,75,25,3,47,53,68,29,18,14,8,3,0,2,2,30,2,2,3,5,0,0,4,1,3,1,2,0,0,0,0,G,67.0,125,1,1974-05-17,[],EA,4,1,010,001,001,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,0.0,2.0,2.5947938081083004,17.371992697251905,15.774859376489655,9.847649918962723,0.17050691244239632
anderke01w,2,0,CHA,18,0,102,12,3,12,14,6,0,17,8,16,2,10,8,2,0,0,2,0,7,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,G,67.0,125,1,1974-05-17,[],EA,4,1,100,100,010,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,4.0,4.0,-0.2905396410832973,2.4311183144246358,1.03322528363047,0.4959481361426257,0.20588235294117646
anderke01w,3,0,CHA,7,0,31,7,2,4,5,0,0,3,4,12,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,67.0,125,1,1974-05-17,[],EA,2,1,010,001,001,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,106670,Charlotte Coliseum,0.0,2.0,0.15157234338278153,0.7327120475418692,0.7327120475418692,0.0,0.1935483870967742
andrame01w,1,0,CLE,32,18,797,265,32,63,75,41,10,65,91,195,89,80,60,75,27,1,6,5,166,21,5,12,14,6,3,11,17,33,8,9,5,9,0,0,F,71.0,165,1,1975-12-31,[],EA,2,1,100,010,001,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,3.0,3.0,10.661991276387946,37.17523483912939,33.949424427544365,32.939222042139384,0.18318695106649938
andrame01w,2,0,CLE,32,32,893,152,21,66,100,51,10,61,77,171,58,45,30,30,6,0,3,3,72,13,5,4,1,2,2,7,9,17,6,0,0,2,1,0,F,71.0,165,1,1975-12-31,[],EA,1,1,010,001,001,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6,6425,147373,Quicken Loans Arena,1.0,2.0,5.736409140641568,28.825146359778323,25.814874842427514,44.143435980551054,0.16573348264277715
andrame01w,3,0,CLE,32,16,665,91,17,39,67,29,6,41,82,111,34,23,18,26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,71.0,165,1,1975-12-31,[],EA,7,0,001,001,001,760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,10,22,32,4,12,6,10,7,14,6550,149084,Quicken Loans Arena,0.0,0.0,3.007424179124508,20.244265301272403,17.720516302363954,18.861426256077795,0.1368421052631579
andrame01w,5,0,CHA,12,0,65,9,1,3,7,0,1,3,12,7,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,71.0,165,1,1975-12-31,[],EA,5,0,001,001,001,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,116383,Charlotte Coliseum,0.0,0.0,0.2376900194907722,2.8489667747163696,2.257467006251447,0.0526742301458671,0.07692307692307693
anosini01w,9,0,MIN,34,34,920,314,78,153,45,75,43,42,125,226,99,166,116,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,75.0,211,1,1986-02-27,[],WE,7,0,001,001,001,991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,16,18,34,9,8,7,10,8,12,6900,118463,Target Center,0.0,0.0,16.661156299434715,39.142002110698044,32.65873983448315,87.9740680713128,0.3793478260869565
anosini01w,10,0,MIN,30,29,896,396,73,149,81,81,28,61,88,265,130,194,135,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,75.0,211,1,1986-02-27,[],WE,5,0,001,001,001,949,2257,591,766,242,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,14,20,34,9,8,5,12,7,13,6875,128127,Target Center,0.0,0.0,17.33930479945336,41.03396867274096,35.75670468793003,79.14424635332253,0.36941964285714285
arcaija01w,1,0,HOU,32,32,977,268,36,83,60,42,3,53,66,233,109,49,41,45,9,1,6,6,201,50,6,21,12,10,0,16,14,47,21,7,6,7,2,0,G,71.0,147,1,1969-04-11,[],WE,2,1,100,100,100,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,6.0,0.0,11.789881506333566,41.676768736623245,38.5673096319586,35.62803889789303,0.16786079836233367
arcaija01w,2,0,HOU,32,32,1154,591,49,87,94,60,3,83,82,509,217,150,135,66,22,1,2,2,71,29,2,9,5,2,0,5,5,34,13,2,2,8,1,0,G,71.0,147,1,1969-04-11,['Most Improved Player'],WE,4,1,010,001,001,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,0.0,2.0,22.216104572057223,48.05961524910155,41.88974472461655,58.91572123176662,0.17244367417677642
arcaija01w,3,0,HOU,32,32,1116,364,42,84,86,51,6,71,49,302,128,111,98,37,10,0,3,3,119,39,2,9,4,5,1,5,11,35,15,8,7,7,2,0,G,71.0,147,1,1969-04-11,[],WE,2,1,010,001,001,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,1.0,2.0,14.280867796502971,46.91495677796303,39.82848004121631,51.54943273905997,0.1639784946236559
arcaija01w,4,0,HOU,34,34,1136,390,24,112,67,41,1,50,64,324,151,94,79,37,9,0,3,3,107,37,6,8,3,8,0,7,5,31,12,13,12,5,1,0,G,71.0,147,1,1969-04-11,[],WE,2,1,010,001,001,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,1.0,2.0,16.264423159062705,49.13339619474357,44.18232386897973,38.6645056726094,0.15669014084507044
arcaija01w,6,0,HOU,34,34,1079,342,20,73,53,55,6,56,85,304,128,94,83,16,3,0,5,5,138,44,1,9,6,6,0,2,5,33,16,12,12,1,0,0,G,71.0,147,1,1969-04-11,[],WE,3,1,100,010,001,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,19,15,34,11,6,8,9,11,11,6875,120676,Toyota Center,2.0,3.0,13.95787395917704,43.29426386728583,37.24795807387188,53.337925445705025,0.14272474513438368
askamma01w,1,0,MIA,32,32,869,251,96,135,29,17,21,49,95,209,85,117,80,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,77.0,198,1,1970-08-07,[],EA,6,0,001,001,001,647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,13,19,32,9,7,4,12,9,12,6475,127721,AmericanAirlines Arena,0.0,0.0,13.464476440163708,33.92922653204258,28.80875202593193,26.760129659643436,0.3095512082853855
askamma01w,2,0,MIA,30,11,431,74,35,52,15,12,11,19,62,58,28,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,77.0,198,1,1970-08-07,[],EA,3,1,010,001,001,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,20,12,32,10,6,10,6,14,7,6575,141717,AmericanAirlines Arena,1.0,2.0,4.574837630170825,17.92871058089607,16.86134242441178,8.03322528363047,0.2552204176334107
askamma01w,3,2,LAS,20,4,215,61,24,25,4,11,4,11,25,55,26,14,9,1,0,0,4,3,24,2,1,2,0,0,0,0,4,5,0,2,2,0,0,0,C,77.0,198,1,1970-08-07,[],WE,1,1,100,100,100,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,6.0,0.0,3.002617617548553,8.688717215412877,8.236334168262855,2.613452188006483,0.29767441860465116
askamma01w,3,1,MIA,6,1,72,11,6,5,3,1,1,1,9,10,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,77.0,198,1,1970-08-07,[],EA,6,0,001,001,001,774,1856,369,529,129,389,296,573,869,476,643,274,435,96,2046,745,1722,469,614,129,382,278,693,971,446,588,222,515,104,2088,15,17,32,9,7,6,10,11,10,6475,141252,AmericanAirlines Arena,0.0,0.0,1.0055277602953294,2.1624502527227216,2.33387358184765,0.1166936790923825,0.18055555555555555
atkinla01w,7,0,IND,33,1,417,99,25,51,22,18,5,34,31,87,38,39,18,17,5,0,2,0,29,6,10,7,3,1,2,2,2,9,2,4,2,0,0,0,G-F,72.0,172,1,1984-03-22,[],EA,3,1,010,001,001,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,21,13,34,12,5,9,8,12,8,6850,122768,Conseco Fieldhouse,0.0,2.0,3.945523276339946,16.059244971580938,15.731012127647682,7.772285251215559,0.23741007194244604
atkinla01w,8,0,SAC,28,0,226,58,13,31,15,10,5,33,15,47,22,19,14,2,0,0,2,0,7,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,G-F,72.0,172,1,1984-03-22,[],WE,3,1,010,001,001,901,2214,572,745,153,429,452,723,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,2480,19,15,34,12,5,7,10,12,10,6950,142575,ARCO Arena (II),1.0,2.0,2.058196485650415,9.593900188306273,8.572709403772544,2.7471636952998377,0.2610619469026549
atkinla01w,9,0,SAC,5,1,73,14,3,11,8,5,2,10,5,16,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-F,72.0,172,1,1984-03-22,[],WE,4,1,010,001,001,883,2159,611,816,168,438,388,721,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,2571,18,16,34,13,4,5,12,9,11,6800,139066,ARCO Arena (II),1.0,2.0,0.47753408808340503,2.331646881889993,2.2183954619124795,0.41410048622366286,0.2876712328767123
