coachID,year,tmID,stint,won,lost,post_wins,post_losses,award
westhpa99w,8,PHO,0,23,11,7,2,
whisejo99w,4,SAC,2,12,4,3,3,
whisejo99w,5,SAC,0,18,16,3,3,
whisejo99w,6,SAC,0,25,9,7,1,['Coach of the Year']
whisejo99w,7,SAC,0,21,13,6,3,
whisejo99w,10,SAC,2,9,12,0,0,
willifr99w,1,UTA,0,18,14,0,0,
willifr99w,2,UTA,1,5,8,0,0,
willigr99w,2,DET,0,10,22,0,0,
willigr99w,3,DET,1,0,10,0,0,
wintebr01w,5,IND,0,15,19,0,0,
wintebr01w,6,IND,0,21,13,2,2,
wintebr01w,7,IND,0,21,13,0,2,
wintebr01w,8,IND,0,21,13,3,3,
zierddo99w,8,MIN,0,10,24,0,0,
zierddo99w,9,MIN,0,16,18,0,0,
